state,district,category,type,crimes,year
Malaysia,All,assault,robbery_gang_unarmed,2432,2022
Malaysia,All,assault,robbery_gang_unarmed,2578,2023
Malaysia,All,assault,robbery_solo_armed,19,2016
Malaysia,All,assault,robbery_solo_armed,3,2017
Malaysia,All,assault,robbery_solo_armed,9,2018
Malaysia,All,assault,robbery_solo_armed,9,2019
Malaysia,All,assault,robbery_solo_armed,5,2020
Malaysia,All,assault,robbery_solo_armed,2,2021
Malaysia,All,assault,robbery_solo_armed,7,2022
Malaysia,All,assault,robbery_solo_armed,13,2023
Malaysia,All,assault,robbery_solo_unarmed,3463,2016
Malaysia,All,assault,robbery_solo_unarmed,4315,2017
Malaysia,All,assault,robbery_solo_unarmed,3688,2018
Malaysia,All,assault,robbery_solo_unarmed,3641,2019
Malaysia,All,assault,robbery_solo_unarmed,4323,2020
Malaysia,All,assault,robbery_solo_unarmed,2558,2021
Malaysia,All,assault,robbery_solo_unarmed,2134,2022
Malaysia,All,assault,robbery_solo_unarmed,1967,2023
Malaysia,All,property,all,90028,2016
Malaysia,All,property,all,77804,2017
Malaysia,All,property,all,71760,2018
Malaysia,All,property,all,66967,2019
Malaysia,All,property,all,52344,2020
Malaysia,All,property,all,41479,2021
Malaysia,All,property,all,40465,2022
Malaysia,All,property,all,41991,2023
Malaysia,All,property,break_in,18760,2016
Malaysia,All,property,break_in,16201,2017
Malaysia,All,property,break_in,15742,2018
Malaysia,All,property,break_in,16497,2019
Malaysia,All,property,break_in,14040,2020
Malaysia,All,property,break_in,11352,2021
Malaysia,All,property,break_in,10585,2022
Malaysia,All,property,break_in,11557,2023
Malaysia,All,property,theft_other,22857,2016
Malaysia,All,property,theft_other,19444,2017
Malaysia,All,property,theft_other,20065,2018
Malaysia,All,property,theft_other,19603,2019
Malaysia,All,property,theft_other,16725,2020
Malaysia,All,property,theft_other,16695,2021
Malaysia,All,property,theft_other,15434,2022
Malaysia,All,property,theft_other,15837,2023
Malaysia,All,property,theft_vehicle_lorry,3050,2016
Malaysia,All,property,theft_vehicle_lorry,2102,2017
Malaysia,All,property,theft_vehicle_lorry,1761,2018
Malaysia,All,property,theft_vehicle_lorry,1549,2019
Malaysia,All,property,theft_vehicle_lorry,921,2020
Malaysia,All,property,theft_vehicle_lorry,639,2021
Malaysia,All,property,theft_vehicle_lorry,718,2022
Malaysia,All,property,theft_vehicle_lorry,764,2023
Malaysia,All,property,theft_vehicle_motorcar,10607,2016
Malaysia,All,property,theft_vehicle_motorcar,8480,2017
Malaysia,All,property,theft_vehicle_motorcar,7413,2018
Malaysia,All,property,theft_vehicle_motorcar,6817,2019
Malaysia,All,property,theft_vehicle_motorcar,4599,2020
Malaysia,All,property,theft_vehicle_motorcar,2849,2021
Malaysia,All,property,theft_vehicle_motorcar,3271,2022
Malaysia,All,property,theft_vehicle_motorcar,3245,2023
Malaysia,All,property,theft_vehicle_motorcycle,34754,2016
Malaysia,All,property,theft_vehicle_motorcycle,31577,2017
Malaysia,All,property,theft_vehicle_motorcycle,26779,2018
Malaysia,All,property,theft_vehicle_motorcycle,22501,2019
Malaysia,All,property,theft_vehicle_motorcycle,16059,2020
Malaysia,All,property,theft_vehicle_motorcycle,9944,2021
Malaysia,All,property,theft_vehicle_motorcycle,10457,2022
Malaysia,All,property,theft_vehicle_motorcycle,10588,2023
Malaysia,All,total,all,112355,2016
Malaysia,All,total,all,99170,2017
Malaysia,All,total,all,88662,2018
Malaysia,All,total,all,83456,2019
Malaysia,All,total,all,65623,2020
Malaysia,All,total,all,52974,2021
Malaysia,All,total,all,50813,2022
Malaysia,All,total,all,52444,2023
