state,district,category,type,date,crimes,,,,,,
Perak,All,total,all,1/1/2018,5128,,,,,,
Perak,All,total,all,1/1/2019,4912,,,,,,
Perak,All,total,all,1/1/2020,3388,,,,,,
Perak,All,total,all,1/1/2021,2925,,,,,,
Perak,All,total,all,1/1/2022,3260,,,,,,
Perak,All,total,all,1/1/2023,3572,,,,,,
Perlis,All,assault,all,1/1/2016,109,,,,,,
Perlis,All,assault,all,1/1/2017,132,,,,,,
Perlis,All,assault,all,1/1/2018,126,,,,,,
Perlis,All,assault,all,1/1/2019,121,,,,,,
Perlis,All,assault,all,1/1/2020,81,,,,,,
Perlis,All,assault,all,1/1/2021,80,,,,,,
Perlis,All,assault,all,1/1/2022,82,,,,,,
Perlis,All,assault,all,1/1/2023,75,,,,,,
Perlis,All,property,all,1/1/2016,546,,,,,,
Perlis,All,property,all,1/1/2017,472,,,,,,
Perlis,All,property,all,1/1/2018,437,,,,,,
Perlis,All,property,all,1/1/2019,406,,,,,,
Perlis,All,property,all,1/1/2020,412,,,,,,
Perlis,All,property,all,1/1/2021,356,,,,,,
Perlis,All,property,all,1/1/2022,320,,,,,,
Perlis,All,property,all,1/1/2023,264,,,,,,
Perlis,All,total,all,1/1/2016,655,,,,,,
Perlis,All,total,all,1/1/2017,604,,,,,,
Perlis,All,total,all,1/1/2018,563,,,,,,
Perlis,All,total,all,1/1/2019,527,,,,,,
Perlis,All,total,all,1/1/2020,493,,,,,,
Perlis,All,total,all,1/1/2021,436,,,,,,
Perlis,All,total,all,1/1/2022,402,,,,,,
Perlis,All,total,all,1/1/2023,339,,,,,,
Pulau Pinang,All,assault,all,1/1/2016,1038,,,,,,
Pulau Pinang,All,assault,all,1/1/2017,1078,,,,,,
Pulau Pinang,All,assault,all,1/1/2018,890,,,,,,
Pulau Pinang,All,assault,all,1/1/2019,1056,,,,,,
Pulau Pinang,All,assault,all,1/1/2020,842,,,,,,
Pulau Pinang,All,assault,all,1/1/2021,931,,,,,,
Pulau Pinang,All,assault,all,1/1/2022,947,,,,,,
Pulau Pinang,All,assault,all,1/1/2023,820,,,,,,
Pulau Pinang,All,property,all,1/1/2016,5078,,,,,,
Pulau Pinang,All,property,all,1/1/2017,4474,,,,,,
Pulau Pinang,All,property,all,1/1/2018,4127,,,,,,
Pulau Pinang,All,property,all,1/1/2019,4162,,,,,,
Pulau Pinang,All,property,all,1/1/2020,3011,,,,,,
Pulau Pinang,All,property,all,1/1/2021,2899,,,,,,
Pulau Pinang,All,property,all,1/1/2022,2516,,,,,,
Pulau Pinang,All,property,all,1/1/2023,2784,,,,,,
Pulau Pinang,All,total,all,1/1/2016,6116,,,,,,
Pulau Pinang,All,total,all,1/1/2017,5552,,,,,,
Pulau Pinang,All,total,all,1/1/2018,5017,,,,,,
Pulau Pinang,All,total,all,1/1/2019,5218,,,,,,
Pulau Pinang,All,total,all,1/1/2020,3853,,,,,,
Pulau Pinang,All,total,all,1/1/2021,3830,,,,,,
Pulau Pinang,All,total,all,1/1/2022,3463,,,,,,
Pulau Pinang,All,total,all,1/1/2023,3604,,,,,,
Sabah,All,assault,all,1/1/2016,623,,,,,,
Sabah,All,assault,all,1/1/2017,741,,,,,,
Sabah,All,assault,all,1/1/2018,555,,,,,,
Sabah,All,assault,all,1/1/2019,619,,,,,,
Sabah,All,assault,all,1/1/2020,461,,,,,,
Sabah,All,assault,all,1/1/2021,397,,,,,,
Sabah,All,assault,all,1/1/2022,492,,,,,,
Sabah,All,assault,all,1/1/2023,515,,,,,,
Sabah,All,property,all,1/1/2016,4528,,,,,,
Sabah,All,property,all,1/1/2017,5291,,,,,,
Sabah,All,property,all,1/1/2018,5330,,,,,,
Sabah,All,property,all,1/1/2019,4874,,,,,,
Sabah,All,property,all,1/1/2020,3153,,,,,,
Sabah,All,property,all,1/1/2021,2890,,,,,,
Sabah,All,property,all,1/1/2022,3498,,,,,,
Sabah,All,property,all,1/1/2023,3474,,,,,,
Sabah,All,total,all,1/1/2016,5151,,,,,,
Sabah,All,total,all,1/1/2017,6032,,,,,,
Sabah,All,total,all,1/1/2018,5885,,,,,,
Sabah,All,total,all,1/1/2019,5493,,,,,,
