arrest_type,date,sex,age,drug_arrests
urine_positive,2020-01-01,female,no_information,77
overall,2021-01-01,both,all,44787
overall,2021-01-01,male,all,1523
overall,2021-01-01,female,all,43264
supply,2021-01-01,both,all,16784
supply,2021-01-01,male,all,15261
supply,2021-01-01,female,all,1523
posses,2021-01-01,both,all,43264
posses,2021-01-01,male,all,40721
posses,2021-01-01,female,all,2543
urine_positive,2021-01-01,both,all,52393
urine_positive,2021-01-01,male,all,49190
urine_positive,2021-01-01,female,all,3203
overall,2021-01-01,both,<13,14
overall,2021-01-01,male,<13,3
overall,2021-01-01,female,<13,11
supply,2021-01-01,both,<13,13
supply,2021-01-01,male,<13,10
supply,2021-01-01,female,<13,3
posses,2021-01-01,both,<13,11
posses,2021-01-01,male,<13,9
posses,2021-01-01,female,<13,2
urine_positive,2021-01-01,both,<13,12
urine_positive,2021-01-01,male,<13,10
urine_positive,2021-01-01,female,<13,2
overall,2021-01-01,both,14-18,124230
overall,2021-01-01,male,14-18,100
overall,2021-01-01,female,14-18,124130
supply,2021-01-01,both,14-18,524
supply,2021-01-01,male,14-18,424
supply,2021-01-01,female,14-18,100
posses,2021-01-01,both,14-18,1621
posses,2021-01-01,male,14-18,1450
posses,2021-01-01,female,14-18,171
urine_positive,2021-01-01,both,14-18,1435
urine_positive,2021-01-01,male,14-18,1253
urine_positive,2021-01-01,female,14-18,182
overall,2021-01-01,both,19-24,9317
overall,2021-01-01,male,19-24,344
overall,2021-01-01,female,19-24,8973
supply,2021-01-01,both,19-24,3167
supply,2021-01-01,male,19-24,2823
supply,2021-01-01,female,19-24,344
posses,2021-01-01,both,19-24,8950
posses,2021-01-01,male,19-24,8424
posses,2021-01-01,female,19-24,526
urine_positive,2021-01-01,both,19-24,8080
urine_positive,2021-01-01,male,19-24,7545
urine_positive,2021-01-01,female,19-24,535
overall,2021-01-01,both,25-29,9609
overall,2021-01-01,male,25-29,370
overall,2021-01-01,female,25-29,9239
supply,2021-01-01,both,25-29,4014
supply,2021-01-01,male,25-29,3644
supply,2021-01-01,female,25-29,370
posses,2021-01-01,both,25-29,9239
posses,2021-01-01,male,25-29,8686
posses,2021-01-01,female,25-29,553
urine_positive,2021-01-01,both,25-29,9715
urine_positive,2021-01-01,male,25-29,9175
urine_positive,2021-01-01,female,25-29,540
overall,2021-01-01,both,30-34,35544
overall,2021-01-01,male,30-34,346
overall,2021-01-01,female,30-34,35198
supply,2021-01-01,both,30-34,4229
supply,2021-01-01,male,30-34,3883
supply,2021-01-01,female,30-34,346
posses,2021-01-01,both,30-34,8639
posses,2021-01-01,male,30-34,8165
posses,2021-01-01,female,30-34,474
urine_positive,2021-01-01,both,30-34,10049
urine_positive,2021-01-01,male,30-34,9507
urine_positive,2021-01-01,female,30-34,542
overall,2021-01-01,both,35-40,32495
overall,2021-01-01,male,35-40,333
overall,2021-01-01,female,35-40,32162
supply,2021-01-01,both,35-40,5232
supply,2021-01-01,male,35-40,4899
supply,2021-01-01,female,35-40,333
posses,2021-01-01,both,35-40,10039
posses,2021-01-01,male,35-40,9518
posses,2021-01-01,female,35-40,521
urine_positive,2021-01-01,both,35-40,11187
urine_positive,2021-01-01,male,35-40,10677
urine_positive,2021-01-01,female,35-40,510
overall,2021-01-01,both,>41,34466
overall,2021-01-01,male,>41,330
overall,2021-01-01,female,>41,34136
supply,2021-01-01,both,>41,7965
supply,2021-01-01,male,>41,7635
supply,2021-01-01,female,>41,330
posses,2021-01-01,both,>41,12910
posses,2021-01-01,male,>41,12447
posses,2021-01-01,female,>41,463
urine_positive,2021-01-01,both,>41,11994
urine_positive,2021-01-01,male,>41,11688
urine_positive,2021-01-01,female,>41,306
overall,2021-01-01,both,no_information,251
overall,2021-01-01,male,no_information,23
overall,2021-01-01,female,no_information,228
supply,2021-01-01,both,no_information,133
supply,2021-01-01,male,no_information,110
supply,2021-01-01,female,no_information,23
posses,2021-01-01,both,no_information,228
posses,2021-01-01,male,no_information,199
posses,2021-01-01,female,no_information,29
urine_positive,2021-01-01,both,no_information,218
urine_positive,2021-01-01,male,no_information,174
urine_positive,2021-01-01,female,no_information,44
overall,2022-01-01,both,all,163697
overall,2022-01-01,male,all,155797
overall,2022-01-01,female,all,7900
supply,2022-01-01,both,all,27283
supply,2022-01-01,male,all,25473
supply,2022-01-01,female,all,1810
posses,2022-01-01,both,all,67273
posses,2022-01-01,male,all,64287
posses,2022-01-01,female,all,2986
urine_positive,2022-01-01,both,all,69141
urine_positive,2022-01-01,male,all,66037
urine_positive,2022-01-01,female,all,3104
overall,2022-01-01,both,<13,24
overall,2022-01-01,male,<13,22
overall,2022-01-01,female,<13,2
supply,2022-01-01,both,<13,3
supply,2022-01-01,male,<13,2
supply,2022-01-01,female,<13,1
posses,2022-01-01,both,<13,11
posses,2022-01-01,male,<13,10
posses,2022-01-01,female,<13,1
urine_positive,2022-01-01,both,<13,10
urine_positive,2022-01-01,male,<13,10
urine_positive,2022-01-01,female,<13,0
overall,2022-01-01,both,14-18,2880
overall,2022-01-01,male,14-18,2632
overall,2022-01-01,female,14-18,248
supply,2022-01-01,both,14-18,316
supply,2022-01-01,male,14-18,248
supply,2022-01-01,female,14-18,68
posses,2022-01-01,both,14-18,1356
posses,2022-01-01,male,14-18,1259
posses,2022-01-01,female,14-18,97
urine_positive,2022-01-01,both,14-18,1208
urine_positive,2022-01-01,male,14-18,1125
urine_positive,2022-01-01,female,14-18,83
overall,2022-01-01,both,19-24,21102
overall,2022-01-01,male,19-24,19884
overall,2022-01-01,female,19-24,1218
